"title","address","phone","website"
"Pine Bluff Arsenal","10-020 Kabrich CirclePine Bluff, AR 71602-9500","870-540-3003870-540-3461View the DOD DSN number312-966-3003View the DOD DSN FAX number312-966-3461","http://www.pba.army.mil"
"188 WG","4850 Leigh AveFort Smith, AR 72903-6096","479-573-5100","https://www.188wg.ang.af.mil/"
"189 AW","112 MSgt Dan Wassom RdLittle Rock AFB, AR 72099","501-987-6068","https://www.189aw.ang.af.mil/"
"Beale AFB","17800 B StreetBeale AFB, CA 95903","530-634-2863530-634-2087View the DOD DSN number312-368-2863View the DOD DSN FAX number312-368-2087",
"Camp Parks","Building 620, 6th StreetCamp Parks, CA 94568","925-875-4650","http://www.parks.army.mil"
"Camp Pendleton","Building 13150Office 155Camp Pendleton Marine Corps Base, CA 92055","760-725-5704760-725-6090760-725-8969View the DOD DSN number312-365-6090View the DOD DSN FAX number312-365-8969","http://www.mccscp.com/CPenInfo"
"Defense Distribution Depot San Joaquin","25600 S. Chrisman Rd.Tracy, CA 95304","209-839-4294","http://www.dla.mil/Distribution/Locations/SanJoaquin.aspx"
"Edwards AFB","90 Farrell Drive, Bldg 5620Edwards AFB, CA 93524","661-277-0723View the DOD DSN number312-527-0723","http://www.edwardsfss.com"
"Fort Hunter Liggett","Bldg. 238 California AvenueJolon, CA 93928","831-386-2506","http://www.liggett.army.mil/sites/local/home.php"
"Fort Irwin","Reception Campus, Bldg 109 Langford Lake RdFort Irwin, CA 92310-1420","760-380-4747760-380-6750760-380-6750760-380-3006View the number760-380-4905","http://www.irwin.army.mil"
"Los Angeles SFB","483 N. Aviation BoulevardEl Segundo, CA 90245-2808","310-653-1110View the DOD DSN number312-633-1110","http://www.losangeles.af.mil"
"March ARB","452nd AMW Public AffairsBldg. 625Riverside DriveMarch ARB, CA 92518","951-655-4137","http://www.march.afrc.af.mil"
"Marine Corps Air Station Miramar","6200 Miramar WaySan Diego, CA 92145","858-307-1011View the DOD DSN number312-267-1428","https://www.miramar.marines.mil"
"Marine Corps Mountain Warfare Training Center (MWTC)","4048 Hwy 108Bridgeport, CA 93517","760-932-1401760-932-1430View the DOD DSN number312-839-1401View the DOD DSN FAX number312-839-1430","http://www.29palms.marines.mil/mcmwtc/"
"MCLB Barstow","7th Street & Wake AvenueBuilding 15 (Base Headquarters)Barstow, CA 92311","760-577-6555312-282-6555View the number760-577-6058View the DOD DSN FAX number312-282-6058",
"MCRD San Diego","1600 Iwo Jima AvePublic AffairsBldg. 1San Diego, CA 92140-5287","619-524-8700619-524-5732619-524-4202619-524-8803View the DOD DSN number312-524-5732View the DOD DSN FAX number312-524-8700","http://www.mcrdsd.marines.mil/"
"Naval Air Facility El Centro","Bennett RoadEl Centro, CA 92243-5001","760-339-2519760-339-2699","http://www.cnic.navy.mil/elcentro/index.htm"
"Naval Air Station Lemoore","Franklin Ave & Enterprise AveLemoore, CA 93245","559-998-4042559-998-4040","http://cnic.navy.mil/lemoore/index.htm"
"Naval Air Weapons Station China Lake","1 Administration CircleChina Lake, CA 93555-6100","855-628-9311","http://www.cnic.navy.mil/chinalake"
"Naval Base Point Loma","Installation Front Gate140 Sylvester RoadNaval Base Point LomaSan Diego, CA 92106","619-553-1011View the DOD DSN number312-553-1011","http://cnic.navy.mil/regions/cnrsw/installations/navbase_point_loma.html"
"Naval Base San Diego","3455 Senn Rd.Bldg. 72San Diego, CA 92136","619-556-1011619-556-1837View the DOD DSN number312-526-1011View the DOD DSN FAX number312-526-1837","https://cnrsw.cnic.navy.mil/Installations/NAVBASE-San-Diego/"
"Naval Base Ventura County - Point Mugu/Port  Hueneme","311 Main RoadBldg 1Point Mugu, CA 93042","805-982-4711805-999-1100","https://www.cnic.navy.mil/regions/cnrsw/installations/navbase_ventura_county/about/installation_guide.html"
"Naval Support Activity Monterey","1 University CircleNaval Postgraduate SchoolMonterey, CA 93943-5001","831-656-2442831-656-3164831-656-2442View the DOD DSN number312-756-3164View the DOD DSN FAX number312-756-2442","http://www.nps.edu"
"Naval Weapons Station Seal Beach","800 Seal Beach BlvdSeal Beach, CA 90740","562-626-7575562-873-7575",
"Presidio of Monterey (DLI/FLC)","Tin Barn W, Rifle Range RoadBLDG 518Monterey, CA 93944","831-242-6692View the DOD DSN number312-768-6890","https://home.army.mil/monterey/index.php"
"Travis Air Force Base","351 Travis AveBldg. 660Travis AFB, CA 94535","707-424-1110707-424-4187View the DOD DSN number312-837-2486View the DOD DSN FAX number312-837-4187","http://www.travisafrc.com"
"Twentynine Palms (MCAGCC)","Information & Referral1526 7th StreetCareer Resource OfficeMCAGCCTwentynine Palms, CA 92278-8150","760-830-6344View the DOD DSN number312-230-6344","http://www.29palms.marines.mil/"
"USAREC, Los Angeles Battalion","US Army Recruiting Battalion-Los Angeles6337 Balboa BoulevardEncino, CA 91316","818-609-8446818-609-7704818-609-7369","http://www.usarec.army.mil/6thbde/6fbn/"
"USAREC, Southern California Battalion","27401 Los AltosSuite 330Mission Viejo, CA 92691","949-367-1150949-367-1502","http://www.usarec.army.mil/6thbde/6kbn"
"USAREC, US Army Battalion Central California","US Army Recruiting, Central California730 Enterprise Ave.Wing 3, Room 3-004NAS Lemoore, CA 93246","559-817-3149559-676-8204","http://www.facebook.com/CentCalRecruitingSFA/"
"USAREC, US Army Recruiting Battalion Northern California","2880 Sunrise BoulevardRancho Cordova, CA 95742","916-853-13581-800-790-9060916-852-6211","http://www.usarec.army.mil/6thbde/6ibn/"
"Vandenberg SFB","6 California BlvdVandenberg SFB, CA 93437-6223","805-606-7662805-606-3743View the DOD DSN number312-276-0039View the DOD DSN FAX number312-276-3743","https://www.vandenberg.spaceforce.mil/Resources/visitorcenter/"
"129 RQW","Building 669 Johnny Luv LaneMoffett ANG Base, CA 94035","650-603-9129","https://www.129rqw.ang.af.mil/"
"144th FW","5323 E. McKinley AveFresno, CA 93727","559-454-5100","https://www.144fw.ang.af.mil/"
"146 AW","100 Mulcahey DrivePort Hueneme, CA 93041","805-986-7470","https://www.146aw.ang.af.mil/"
"163 ATKW","1261 Graeber St Bldg 2313March ARB, CA 92518-1624","951-655-2165","https://www.163atkw.ang.af.mil/"
"Buckley SFB","E Steamboat Ave (Mississippi Gate)Aurora, CO 80011","720-847-1110View the DOD DSN number312-847-1110","http://www.buckley.af.mil"
"Fort Carson","Army Community Service6303 Wetzel Ave.Bldg. 1526Fort Carson, CO 80913","719-526-5811719-526-4590View the DOD DSN number312-691-5811","http://home.army.mil/carson/index.php"
"Peterson SFB","1334 W. Stewart AvenueColorado Springs, CO 80916","719-556-6660View the DOD DSN number312-834-6660","https://www.peterson.spaceforce.mil/"
"USAF Academy","6248 W. Pine LoopUSAF Academy, CO 80840","719-333-3444719-333-7200View the DOD DSN number312-333-3444","https://usafa.af.mil"
"USAREC, Denver Battalion","621 17th Street, Suite 400Denver, CO 80203","303-863-8362619-994-9703303-863-8958","http://www.usarec.army.mil/5thbde/4dbn/"
"140 WG","18860 E Breckenridge AveAurora, CO 80011","720-847-9423","https://www.140wg.ang.af.mil/"
"Naval Submarine Base New London","1 Crystal Lake RoadGroton, CT 06349-5093","860-694-3011860-694-4444View the DOD DSN FAX number312-694-4489","http://www.cnic.navy.mil/regions/cnrma/installations/navsubbase_new_london.html"
"103 AW","100 Nicholson RoadEast Granby, CT 06026","860-292-2460","https://www.103aw.ang.af.mil/"
"Dover AFB","Military & Family Readiness Center846 Sumner StreetBuilding #846Dover, DE 19901","302-677-6930302-677-6477View the DOD DSN number312-445-6930View the DOD DSN FAX number312-445-6477","http://www.dover.af.mil/"
"166th AW","2600 Spruance DriveNew Castle, DE 21911","302-323-3408","https://www.166aw.ang.af.mil/"
"Joint Base Anacostia-Bolling","Military and Family Readiness Center118 Brookley Avenue, Bldg 13Washington, DC 20032","202-284-4473View the DOD DSN number312-484-4473","https:////www.jbab.jb.mil/"
"Naval Support Activity Washington","1411 Parsons Ave. SE, Bldg. 101Washington Navy YardWashington, DC 20374-5028","202-685-0229202-685-1269",
"Pentagon - Air Force","1565 AF Pentagon811 FSS/FSHRoom 5C1049Washington, DC 20330","703-693-9460703-693-1241",
"Arnold AFB","502 W Van MatreBldg 205Eglin, AFB, FL 32542","850-882-9060View the DOD DSN number312-872-9060","http://www.arnold.af.mil"
"Eglin AFB","Military & Family Readiness Center96 FSS/FSH502 W Van Matre Ave. Bldg 205Suite 1 Bldg 205Eglin AFB, FL 32542","850-882-9060850-882-9061850-882-9669View the DOD DSN number312-872-9060View the DOD DSN FAX number312-872-9669","http://www.eglin.af.mil"
"Hurlburt Field","220 Lukasik AvenueBuilding 90213Hurlburt Field, FL 32544-5272","850-884-5441312-579-5441","http://www.hurlburt.af.mil/"
"MacDill AFB","6801 S. Dale Mabry HwyMacDill AFB, FL 33621- 5313","813-828-1110View the DOD DSN number312-968-1110","http://www.macdill.af.mil/"
"Naval Air Station Jacksonville","6801 Roosevelt AveNaval Air StationJacksonville, FL 32212","904-542-2338904-542-2339904-542-1669View the DOD DSN number312-942-2338View the DOD DSN FAX number312-942-1669","https://www.cnic.navy.mil/jacksonville/index.htm"
"Naval Air Station Key West","804 Sigsbee RoadBldg. V4058, Sigsbee ParkKey West, FL 33040 9037","305-293-4408305-293-4415View the DOD DSN number312-483-4408View the DOD DSN FAX number312-483-4415","https://www.cnic.navy.mil/keywest"
"Naval Air Station Pensacola","151 Ellyson AvenueBuilding 625NAS Pensacola, FL 32508","850-452-5990850-452-5131View the DOD DSN number312-459-5990View the DOD DSN FAX number312-459-5131","http://www.facebook.com/FFSCPensacola/"
"Naval Air Station Whiting Field","7550 USS Essex St.Milton, FL 32570-6013","850-623-7084850-623-7341850-623-7921","https://www.cnic.navy.mil/whitingfield/index.htm"
"Naval Station Mayport","Massey AvenueBuilding 1Mayport, FL 32228","904-270-5401904-270-5402View the DOD DSN number312-270-5401","https://www.cnic.navy.mil/regions/cnrse/installations/ns_mayport.html"
"Naval Support Activity Orlando","12201 Science DriveOrlando, FL 32826","407-380-4444407-381-8744View the DOD DSN number312-960-4444","https://www.cnic.navy.mil/Orlando/index.htm"
"Naval Support Activity Panama City","101 Vernon AvenuePanama City, FL 32407-7018","850-234-4011850-234-4522View the DOD DSN number312-436-4011View the DOD DSN FAX number312-436-4522","https://www.cnic.navy.mil/panamacity/index.htm"
"Patrick SFB","Space Launch Delta 451201 Edward H. White St.Bldg. 423Patrick SFB, FL 32925-3439","321-494-1110321-494-4315View the DOD DSN number312-854-1110","http://www.patrick.spaceforce.mil"
"Tyndall AFB","445 Suwannee RoadBuilding 662Tyndall AFB, FL 32403","850-283-2400850-283-2402View the DOD DSN number312-523-2400","http://www.tyndall.af.mil/"
"USAREC, Jacksonville Battalion","7910 Baymeadows WaySuite 100Jacksonville, FL 32256","321-604-7692904-636-9300","http://www.usarec.army.mil/2ndbde/3ebn/"
"USAREC, Tampa Battalion","3350 Buschwood Park DriveSuite 140Tampa, FL 33618-4312","813-935-3398813-915-8417813-935-5365813-935-7556View the number813-935-3974","http://www.usarec.army.mil/2ndbde/3nbn/"
"125 FW","14300 Fang Drive Bldg 55, Room 142Jacksonville, FL 32218","904-741-7027","https://www.125fw.ang.af.mil/"
"Fort Eisenhower","Darling Hall307 Chamberlain AvenueBuilding 33720Fort Eisenhower, GA 30905","706-791-0110",
"Fort Moore","7117 Baltzell AvenueBuilding 7Fort Moore, GA 31905","706-545-4043706-545-7517706-545-2545View the DOD DSN number312-835-4043View the DOD DSN FAX number312-835-2545","https://benning.armymwr.com/programs/army-community-services"
"Fort Stewart","General Stewart Way & Memorial DrHinesville, GA 31313","912-767-1411","http://home.army.mil/stewart/index.php"
"Hunter Army Airfield","685 Horace Emmet Wilson BoulevardBuilding 1201Hunter Army Airfield, GA 31409","912-315-6816912-315-2601","https://home.army.mil/stewart/index.php/about/Garrison/hunter-army-airfield"
"Marine Corps Logistics Base - Albany","814 Radford BoulevardSuite 20311Albany, GA 31704","229-639-5000229-639-5206","https://www.albany.marines.mil/"
"Moody AFB","5090 Gardner StreetSuite 116Moody AFB, GA 31699-1507","229-257-3395229-257-4146","http://www.moody.af.mil/"
"Naval Submarine Base Kings Bay","1063 USS Tennessee AvenueKings Bay, GA 31547","912-573-2020912-573-2195View the DOD DSN number312-573-2020","https://www.cnic.navy.mil/regions/cnrse/installations/navsubbase_kings_bay.html"
"Robins AFB","Hwy 247 & Watson BlvdRobins AFB, GA 31098","478-926-1256478-926-2361312-468-1256312-468-2361View the number478-926-1001View the DOD DSN number312-468-1001","http://www.robins.af.mil"
"US Army Cadet Command 6th Brigade","6th Brigade Headquarters246 Blanton RoadBuilding 1031Hunter Army  Airfield, GA 31409","912-315-6889912-315-2601View the DOD DSN number312-729-4613","http://www.cadetcommand.army.mil/brigades.aspx"
"USAREC, Atlanta Battalion","1995 North Park Place, Suite 150Atlanta, GA 30339","770-951-0898770-850-8762770-817-3152770-951-1594","http://www.usarec.army.mil/2ndbde/3abn/"
"116 ACW","540 East Dr Bldg 2094ROBINS AFB, GA 31098","478-201-4309","https://www.116acw.ang.af.mil/"
"165 AW","1401 Robert B. Miller Jr. Dr.Garden City, GA 31408-9001","912-966-8109","https://www.165aw.ang.af.mil/"
"Mountain Home AFB","575 Gunfighter AvenueBuilding 180366 FSS/FSFRMountain Home AFB, ID 83648-5237","208-828-2458208-828-2957View the DOD DSN number312-728-2458View the DOD DSN FAX number312-728-2957","http://www.mountainhome.af.mil/"
"Naval Station Great Lakes","2601 E. Paul Jones StreetGreat Lakes, IL 60088-2845","847-688-3500847-688-3970","https://www.cnic.navy.mil/greatlakes/index.htm"
"Rock Island Arsenal","390 Rodman AvenueRock Island, IL 61299","309-782-6001309-782-0817View the DOD DSN number312-793-6001View the DOD DSN FAX number312-793-0817","https://rockisland.armymwr.com/programs/army-community-service"
"Scott Air Force Base","404 W. Martin Street375 FSS/FSHBuilding 1650Scott AFB, IL 62225-5359","618-256-8668View the DOD DSN number312-576-8668","http://www.scott.af.mil/"
"US Army Cadet Command 3rd Brigade","3rd Brigade Headquarters2730 Sampson StreetBldg 73Great Lakes, IL 60088-2845","502-624-7226502-624-6239","https://www.cnic.navy.mil/greatlakes/index.htm"
"USAREC, Chicago Battalion","3202 Mississippi Street, Bldg 3215Great Lakes, IL 60088","800-790-0963224-538-3513224-538-3545","http://www.usarec.army.mil/3rdbde/5abn/"
"126 ARW","126 Air Guard WayBldg 5000, Rm 117Scott AFB, IL 62225-5503","618-222-5761","https://www.126arw.ang.af.mil/"
"182 AW","2416 S Falcon BlvdBldg 628Peoria, IL 61607","309-633-5210","https://www.182aw.ang.af.mil/"
"183 Wing","3101 J David Jones PkwySpringfield, IL 62707-5001","217-757-1267","https://www.183wg.ang.af.mil/"
"Naval Support Activity Crane","NSA Crane300 Highway 361Crane, IN 47522","812-854-1213812-864-3524312-482-3524","https://www.cnic.navy.mil/regions/cnrma/installations/nsa_crane.html?fbclid=IwAR0_6tyqCet_Q8IBVup2164Q6mPvFXf9q6j48uAEbzeiia25wAbdYBEVthw"
"USAREC, Indianapolis Battalion","9152 Kent AvenueRoom 112Indianapolis, IN 46216","800-790-0963317-499-7316317-608-4409317-549-1780","http://www.usarec.army.mil/3rdbde/5hbn"
"122 FW","3005 West Ferguson Rd.Fort Wayne, IN 46809-3158","260-478-3700","https://www.122fw.ang.af.mil/"
"132 WG","3100 McKinley AveDes Moines, IA 50321-2799","515-261-8290","https://www.132dwing.ang.af.mil/"
"185ARW","2920 Headquarters AveSioux City, IA 51111-1300","712-233-0809","https://www.185arw.ang.af.mil/"
"Fort Leavenworth","600 Thomas Ave.Fort Leavenworth, KS 66027-2303","913-684-2800913-684-2859View the DOD DSN number312-552-2800View the DOD DSN FAX number312-552-2859","https://leavenworth.armymwr.com/"
"Fort Riley","500 Holbrook AveGarrison HQFort Riley, KS 66442","785-239-3033View the DOD DSN number312-856-3033","https://home.army.mil/riley/"
"McConnell AFB","52802 Kansas StreetMcConnell AFB, KS 67221-3606","316-759-6100View the DOD DSN number312-743-6100","http://www.McConnell.af.mil"
"184 IW","52955 SW Jayhawk DrBldg 65, Rm 115McConnell Air Force Base, KS 67221","316-759-7424","https://www.184iw.ang.af.mil/"
"190 ARW","5920 SE Coyote DriveTopeka, KS 66619-5370","785-861-4363","https://www.190arw.ang.af.mil/"
"Fort Campbell","1501 William C. Lee Rd (inside gate 1)Fort Campbell, KY 42223","270-798-9322312-635-9322270-956-2935312-363-2935","https://home.army.mil/campbell/index.php/acs"
"Fort Knox","411 Eisenhower AvenueBuilding 1477Fort Knox, KY 40121","502-624-8391502-624-6291502-624-8278","https://www.knox.army.mil"
"US Army Cadet Command 1st Brigade","75 Alsace StreetBldg 5933Fort Knox, KY 40121-3031","502-624-7226502-624-6239","http://www.knox.army.mil/"
"US Army Cadet Command 7th Brigade","328 3rd AvenueBuilding 1468Fort Knox, KY 40121","502-624-1753502-624-6223View the DOD DSN number312-464-1753View the DOD DSN FAX number312-464-6223","http://www.knox.army.mil/"
"US Army Cadet Command Headquarters","204 1st Cavalry Regiment RoadBuilidng 1002Fort Knox, KY 40121-5205","502-624-6291502-624-6223View the DOD DSN number312-464-6291View the DOD DSN FAX number312-464-6223","http://www.knox.army.mil/"
"USAREC, 3rd Medical Recruiting Battalion","328 Third Avenue, Bldg 1468Fort Knox, KY 40121","502-626-0866502-626-1447","http://www.usarec.army.mil/mrb/9cbn/index.shtml"
"USAREC, Columbus Battalion","US Army Recruiting Battalion Columbus401 North Yearling RoadBuilding 11, Section 10Columbus, OH 43213","614-405-8220614-693-2943",
"123 AW","1101 Grade LnLouisville, KY 40213-2678","502-413-4400","https://www.123aw.ang.af.mil/"
"Barksdale Air Force Base","801 Kenney Ave.Suite 1400Barksdale AFB, LA 71110-2426","318-456-8400318-456-8031View the DOD DSN number312-781-8400View the DOD DSN FAX number312-781-8031","http://www.barksdale.af.mil/"
"Fort Johnson","Louisiana Ave.Bldg. 5903Fort Johnson, LA 71459-5342","337-531-0380View the DOD DSN number312-863-0380",
"Naval Air Station Joint Reserve Base New Orleans","400 Russell Avenue BLDG 555Belle Chasse, LA 70037","504-678-7569504-678-9024View the DOD DSN number312-678-7569View the DOD DSN FAX number312-678-9024","https://www.cnic.navy.mil/jrborleans/index.htm"
"USAREC, Baton Rouge Battalion","10101 Park Rowe Avenue, Suite 575Baton Rouge, LA 70810","225-767-3079800-790-09631-225-955-2177","http://www.usarec.army.mil/2ndbde/3tbn"
"159 FW","400 Russell Ave, NASJRBBuilding 24 Room 159Belle Chase, LA 70143","504-391-8347","https://www.159fw.ang.af.mil/"
"Portsmouth Naval Shipyard","2 Wentworth StreetVisitor Control CenterPortsmouth Naval ShipyardKittery, ME 03904","207-438-2235207-438-2669View the DOD DSN number312-684-2235View the DOD DSN FAX number312-684-2669","https://cnic.navy.mil/regions/cnrma/installations/portsmouth_ns.html"
"USAREC, New England Battalion","New England Army RecruitingBLDG 395 Parker AvePNSYKittery, ME 03904","207-438-8503207-438-8501207-438-8514207-438-8596View the number207-801-8290","http://www.usarec.army.mil/1stbde/1dbn/"
"101 ARW","103 Maineiac Av, Ste 505Bangor, ME 04401","207-404-7373","https://www.101arw.ang.af.mil/"
"Aberdeen Proving Ground","6836 Civil RdAberdeen Proving Ground, MD 21005","410-278-1147410-278-2330View the DOD DSN number312-298-7572View the DOD DSN FAX number312-278-9685","https://aberdeen.armymwr.com/programs/army-community-service"
"Fort Detrick","1520 Freedman DriveRoom 125Fort Detrick, MD 21702","301-619-2197301-619-6288View the DOD DSN number312-343-2197View the DOD DSN FAX number312-343-6288","http://www.detrick.army.mil/"
"Fort George G. Meade","830 Chisholm AvenueFort Meade, MD 20755","301-677-5590301-677-2910View the DOD DSN number312-622-5590View the DOD DSN FAX number312-622-2910","http://www.ftmeade.army.mil"
"Fort George G. Meade - Navy","Building 9805Emory RoadFort Meade, MD 20755","301-677-0217443-634-1424View the DOD DSN number312-622-0217","https://www.navifor.usff.navy.mil/cwg6/"
"Joint Base Andrews-Naval Air Facility Washington","1191 Menoher DriveAndrews AFB, MD 20762-6421","301-981-7087View the DOD DSN number312-858-7087",
"Naval Air Station Patuxent River","22268 Cedar Point RoadBldg. 409NAS Patuxent River, MD 20670-1132","301-342-3000301-342-4911","https://www.cnic.navy.mil/Patuxent/index.htm"
"Naval Support Activity Annapolis  - U.S. Naval Academy","58 Bennion RdNSA Annapolis HeadquartersAnnapolis, MD 21402","410-293-1000View the DOD DSN number312-281-1000","http://www.usna.edu/"
"Naval Support Activity Bethesda Home of Walter Reed National Military Medical Center","102 Wood RdBethesda, MD 20814","301-295-4607","https://www.cnic.navy.mil/regions/ndw/installations/nsa_bethesda.html"
"Naval Support Activity South Potomac (NSF Indian Head)","3838 Strauss AvenueIndian Head, MD 20640","301-744-4379301-744-4311","https://ndw.cnic.navy.mil/Installations/NSA-South-Potomac/"
"USAREC, 1st Medical Recruiting Battalion","4550 Parade Field LaneSuite 5502Fort Meade, MD 20755","301-677-7447301-677-7447","http://www.usarec.army.mil/mrb/9abn/"
"USAREC, Baltimore Battalion","4550 Parade Field Lane, 2nd Floor, Suite 5390Fort Meade, MD 20755","301-677-7001301-677-7095",
"113 WG","3252 Perimeter RoadJoint Base Andrews, MD 20762-5011","240-857-4867","https://www.113wg.ang.af.mil/"
"175 WG","2701 Eastern BlvdBaltimore, MD 21220","410-918-6297","https://www.175wg.ang.af.mil/"
"Hanscom AFB","10 Kirtland StreetBuilding 1240Hanscom AFB, MA 01731","781-225-2765781-225-3901View the DOD DSN number312-845-2765View the DOD DSN FAX number312-845-3901",
"Natick Soldier Systems Center (NSSC)","US Army Garrison-Natick10 General Greene AvenueNatick, MA 01760","508-206-4023508-206-4025","https://www.army.mil/info/organization/natick/"
"Westover ARB","975 Patriot Av Bldg 1850Westover Air Reserve BaseChicopee, MA 01022","413-557-3588","http://www.westover.afrc.af.mil/"
"104 FW","175 Falcon DriveWestfield, MA 01085-1482","413-568-9151","https://www.104fw.ang.af.mil/"
"Hart-Dole-Inouye Federal Center","74 Washington Avenue NorthBattle Creek, MI 49037-3084","269-961-4000888-352-9333View the DOD DSN number312-661-4000","http://gsa.gov/about-us/regions/welcome-to-the-great-lakes-region-5/buildings-and-facilities/michigan/hartdoleinouye-federal-center"
"USAG Detroit Arsenal","6501 E. 11 Mile RoadWarren, MI 48397-5000","586-282-0489586-282-7631View the DOD DSN number312-786-0489",
"110 ATKW","3571 Mustang AveBattle Creek, MI 49037-5509","269-969-3216","https://www.110atkw.ang.af.mil/"
"127WG","29553 George AveSELFRIDGE, MI 48045","586-239-5576","https://www.127wg.ang.af.mil/"
"USAREC, Minneapolis Battalion","Minneapolis Recruiting Battalion1 Federal DriveSte. 2916Fort Snelling, MN 55111","612-725-3117612-725-3116",
"133 AW","631 Minuteman DriveSt. Paul , MN 55111-4100","612-713-2410","https://www.133aw.ang.af.mil/"
"148 FW","4680 Viper StDuluth, MN 55811-6031","218-788-7210","https://www.148fw.ang.af.mil/"
"Columbus AFB","Military and Family Readiness Center166 C CircleBuilding 1114Columbus AFB, MS 39710-7901","662-434-2790662-434-2483View the DOD DSN number312-742-2790View the DOD DSN FAX number312-742-2483","https://www.columbus.af.mil/"
"Keesler AFB","500 Fisher St. RM110Keesler AFB, MS 39534-2554","228-376-8728228-377-3063View the DOD DSN number312-591-8728View the DOD DSN FAX number312-597-3063","http://www.keesler.af.mil"
"Naval Air Station Meridian","255 Rosenbaum AvenueNaval Air StationMeridian, MS 39309","601-679-2181601-679-2447601-695-7055601-679-2211","https://www.cnic.navy.mil/Meridian/index.htm"
"Naval Construction Battalion Center Gulfport","4902 Marvin Shields BlvdGulfport, MS 39501","228-871-2555228-871-3610View the DOD DSN number312-868-3000View the DOD DSN FAX number312-868-3610","https://www.cnic.navy.mil/gulfport"
"Stennis Space Center","1100 Stennis Space CtrStennis Space Center, MS 39529","228-813-4070","http://www.nasa.gov/centers/stennis/about/stennis/index.html"
"172 AW","141 Military Drive AW 47Jackson, MS 39232","601-405-8311","https://www.172aw.ang.af.mil/"
"186 ARW","6225 M StreetMeridian, MS 39305","601-484-9000","https://www.186arw.ang.af.mil/"
"Fort Leonard Wood","Replacement AvenueRelocation Readiness Rm 118Building 486Fort Leonard Wood, MO 65473-8935","573-596-0212573-596-0551View the DOD DSN number312-581-0212","http://www.wood.army.mil/"
"USAREC, Kansas City Battalion","10300 NW Prairie View RoadKansas City, MO 64153-1350","800-790-0963816-891-8744","https://recruiting.army.mil/5thbde/4gbn"
"Whiteman AFB","750 Arnold AveWhiteman AFB, MO 65305","660-687-7132660-687-1053View the DOD DSN number312-975-7132View the DOD DSN FAX number312-975-1053","http://www.whiteman.af.mil/"
"131 BW","36 Sherman RdSt Louis, MO 63125","660-687-7420","https://www.131bw.ang.af.mil/"
"139 AW","705 Memorial DriveSaint Joseph, MO 64503-9307","816-236-3300","https://www.139aw.ang.af.mil/"
"Malmstrom Air Force Base","312 73rd St NBldg 1191Malmstrom AFB, MT 59402-7511","406-731-1110406-731-2406View the DOD DSN number312-632-1110View the DOD DSN FAX number312-632-2406","http://www.malmstrom.af.mil"
"120 AW","2800 Airport Ave BGreat Falls, MT 59405","406-791-0159","https://www.120thairliftwing.ang.af.mil/"
"Offutt AFB","Offutt Visitor Control CenterSAC GateBldg 478 Butler BoulevardOffutt AFB, NE 68113","402-294-7551View the DOD DSN number312-271-7551","http://www.offutt.af.mil"
"Naval Air Station Fallon","4755 Pasture RoadFallon, NV 89496-5000","775-426-2710","https://www.cnic.navy.mil/fallon/index.htm"
