"name","address1_composite","address2_composite","telephone1","websiteurl","chc_256characterstatement","sl_federalein","chc_ntee1","chc_ntee2","chc_ntee3"
"Military Community Youth Ministries","540 N Cascade Ste 300
Colorado Springs, CO 80903
USA",,"800-832-9098","http://www.mcym.org","Caring for military families through relational ministry to military teens worldwide. Partnering with Young Life and the local chapel. Where friends, fun and faith connect.","742238462","O  Youth Development","X  Religion, Spiritual Development","P  Human Services"
"Nazarene Compassionate Ministries, Inc.","17001 Prairie Star Pky Ste 100
Lenexa, KS 66220
USA",,"800-310-6362","https://www.ncmi.org","Challenged by faith to end poverty. Promotes long-term solutions to poverty through training, gifts-in-kind, economic and community development; also responds to disasters.","431550318","P  Human Services","M  Public Safety, Disaster Preparedness and Relief","K  Agriculture, Food, Nutrition"
"Amen Foundation","2903 Mills Ave NE
Washington, DC 20018
USA",,"202-832-5168","http://www.amenfoundation.org","Supports Catholic vocations/ministries, especially for churches of Sub-Saharan Africa. Funds education; supports seminarians, sisters, lay ministers, missionaries who serve people's spiritual, social, economic needs.","521837798","X  Religion, Spiritual Development","B  Educational Institutions","P  Human Services"
"Campus Crusade for Christ's Great Commission Foundation","100 Lake Hart Dr Ste 3600
Orlando, FL 32832
USA",,"407-541-5102","http://www.crumilitary.org","Cru Foundation provides Bibles, military marriage seminars, Christian leadership training and faith-based, combat trauma resources and support to the global military community around the world.","952814920","X  Religion, Spiritual Development","P  Human Services","X  Religion, Spiritual Development"
"The Navigators","3820 N 30th St
PO Box 50500
Colorado Springs, CO 80904
USA",,"866-568-7827","https://www.navigators.org/","Provides a spiritual presence on military bases alongside chaplains, and brings hope to military personnel and their families through meaningful relationships with Jesus Christ.","846007896","P  Human Services","X  Religion, Spiritual Development","O  Youth Development"
"Officers' Christian Fellowship","4050 Lee Vance Dr Ste 330
Colorado Springs, CO 80918
USA",,"303-761-1984","http://www.ocfusa.org","OCF engages military leaders in Biblical fellowship and growth to equip them for Christ-like service at the intersection of faith, family, and profession.","381415401","X  Religion, Spiritual Development","Y  Mutual/Membership Benefit Organizations, Other","O  Youth Development"
"Society of Saint Andrew","3383 Sweet Hollow Rd
Big Island, VA 24526
USA",,"434-299-5956","https://www.endhunger.org","Providing nutritious food to people in need throughout the US. Our gleaning programs save good produce from going to waste for donation to hunger-relief agencies.","541285793","K  Agriculture, Food, Nutrition","P  Human Services","X  Religion, Spiritual Development"
"United Breast Cancer Foundation","PO Box 2421
Huntington, NY 11743
USA",,"877-822-4287","http://www.ubcf.org","Providing financial aid, emotional relief, early detection, and education through seven life-supporting programs. Serving women, men, patients, survivors, families, at-risk and general population.","113571208","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Voice of the Martyrs","1815 SE Bison Rd
Bartlesville, OK 74006
USA",,"800-747-0085","https://www.persecution.com","Serving over 4 million persecuted Christians in 68 nations by empowering, equipping, and encouraging; bringing Christ's hope through Bibles, medicines, shelter, training and aid.","731395057","X  Religion, Spiritual Development","P  Human Services","L  Housing, Shelter"
"White Bison","6455 N Union Blvd Ste 102
Colorado Springs, CO 80918
USA",,"719-548-1000","http://www.whitebison.org","We provide sobriety, recovery, addictions prevention, and wellness/Wellbriety learning resources to the Native American/Alaskan Native community nationwide.","841117880","B  Educational Institutions","E  Health General & Rehabilitative","F  Mental Health, Crisis Intervention"
"Leukemia & Lymphoma Society, California, Central Valley Region, Sacramento","7491 N Remington Ave Ste 101
Sacramento Virtual Office
Fresno, CA 93711
USA",,"559-435-1482","https://www.lls.org/cencal","The mission of The Leukemia & Lymphoma Society (LLS) is: Cure leukemia, lymphoma, Hodgkin's disease and myeloma, and improve the quality of life of patients and their families.
","135644916","G  Disease, Disorders, Medical Disciplines","H  Medical Research","E  Health General & Rehabilitative"
"Leukemia & Lymphoma Society, California, Southern California - Hawaii Region, Orange County","3890 Murphy Canyon Rd Ste 150
Santa Ana Virtual Office
San Diego, CA 92123
USA",,"858-427-6648","https://www.lls.org/socal","The mission of The Leukemia & Lymphoma Society (LLS) is: Cure leukemia, lymphoma, Hodgkin's disease and myeloma, and improve the quality of life of patients and their families.
","135644916","G  Disease, Disorders, Medical Disciplines","H  Medical Research","E  Health General & Rehabilitative"
"Ally's House, Oklahoma, Oklahoma City","308 W Main St
Moore, OK 73160
USA",,"405-793-2559","http://www.allyshouse.org","Providing financial assistance and special programs to Oklahoma children with cancer and their families. Helped more than 1000 families since 2004.","200726554","E  Health General & Rehabilitative","P  Human Services","O  Youth Development"
"March of Dimes, New Jersey, Parsippany","959 US Hwy 46 Ste 210
Virtual Office
Parsippany, NJ 07054
USA",,"973-296-8803","https://www.facebook.com/marchofdimes","Prematurity is the #1 killer of babies in the United States. Donations are used to fund research, educational programs, community services and advocacy efforts focused on giving every child a fighting chance at a healthy start.","131846366","H  Medical Research","E  Health General & Rehabilitative","P  Human Services"
"AIDS Research Foundation (amfAR)","120 Wall St 13th Fl
New York, NY 10005
USA",,"800-392-6327","https://www.amfar.org","Invests in innovative AIDS and COVID-19 research; advocates increased funding for research/prevention/treatment and protecting the rights of all people affected by HIV/AIDS.","133163817","H  Medical Research","G  Disease, Disorders, Medical Disciplines","R  Civil Rights, Social Action, Advocacy"
"Ally's House","308 W Main St
Moore, OK 73160
USA","1200 Children's Ave
Oklahoma City, OK 73104
USA","405-793-2559","http://www.allyshouse.org","Providing financial assistance and special programs to Oklahoma children with cancer and their families. Helped from 1,000 to 1,200 families since 2004.","200726554","E  Health General & Rehabilitative","P  Human Services","O  Youth Development"
"Alpha-1 Foundation, Inc.","3300 Ponce de Leon Blvd
Coral Gables, FL 33134
USA",,"305-567-9888","https://www.alpha1.org","The Alpha-1 Foundation is committed to finding a cure for Alpha-1 Antitrypsin Deficiency and to improving the lives of people affected by Alpha-1 worldwide.","650585415","H  Medical Research","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative"
"ALS Arizona","360 E Coronado Rd Ste 140
Phoenix, AZ 85004
USA",,"602-297-3800","https://alsaz.org/","Providing dedicated support, through patient and family support services, equipment loan, ALS multidisciplinary clinics, public awareness, and support of cutting edge research.","860727136","G  Disease, Disorders, Medical Disciplines","P  Human Services","W  Public, Society Benefit"
"ALS Network","PO Box 7082
Woodland Hills, CA 91365
USA","5950 Canoga Ave Ste 110
Woodland Hills, CA 91367
USA","818-865-8067","https://www.alsnetwork.org","Our Mission: To partner with the ALS community as we drive the discovery of prevention strategies, treatments, and cures for ALS; provide access to quality care and connection; and promote initiatives to improve health outcomes.","954163338","P  Human Services","E  Health General & Rehabilitative","H  Medical Research"
"ALS Association, California, Golden West Chapter, Fresno","2335 E Kashiar Ln 3rd Fl
Fresno, CA 93701
USA","27001 Agoura Rd Ste 260
Calabasas, CA 91301
USA","209-586-8323","http://www.alsagoldenwest.org","The ALS Association Golden West Chapter advances the search for treatments and cures for ALS by funding research and providing care services, advocacy, outreach and education to people with ALS and their loved ones in Hawaii and 31 counties in California.","954163338","P  Human Services","E  Health General & Rehabilitative","H  Medical Research"
"ALS Association, Hawaii, Golden West Chapter, Honolulu","1050 Queen St Ste 100
Honolulu, HI 96814
USA","27001 Agoura Rd Ste 260
Calabasas, CA 91301
USA","808-597-6416","www.alsnetwork.org","Supporting people with ALS (Lou Gehrig’s Disease) and their family members in California and Hawaii by providing comprehensive care services and advancing research for a cure, advocacy, outreach and education.The ALS Association Golden West Chapter advances the search for treatments and cures for ALS by funding research and providing care services, advocacy, outreach and education to people with ALS and their loved ones in Hawaii and 31 counties in California.","954163338","P  Human Services","E  Health General & Rehabilitative","H  Medical Research"
"American Bible Society","101 N Independence Mall E 8th Fl
Philadelphia, PA 19106
USA",,"212-408-1200","https://www.americanbible.org","Making the Bible available to every person in a language and format each can understand and afford, so they may experience it's life changing message.","131623885","X  Religion, Spiritual Development","Q  International, Foreign Affairs, and National Security","O  Youth Development"
"American Cancer Society, Alabama, South Region, Birmingham Market","1100 Ireland Way Ste 300
Birmingham, AL 35205
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","205-879-2242","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Arizona, South Region, Phoenix Market","4550 E Bell Rd Ste 126
Phoenix, AZ 85032
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","602-224-0524","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Connecticut, Northeast Region, Hartford-Providence Market","825 Brook St
Rocky Hill, CT 06067
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","203-379-4700","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Florida, Southeast Region, Miami Market, Ft. Lauderdale","3363 W Commercial Blvd Ste 100
Fort Lauderdale, FL 33309
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","954-561-8072","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Illinois, North Central Region, Chicago Market","One E Wacker Dr Ste 1500
Chicago, IL 60601
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","312-641-6150","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Indiana, North Central Region, Indianapolis Market","5635 W 96th St Ste 100
Indianapolis, IN 46278
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","317-344-7800","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Louisiana, South Region, New Orleans Market","2605 River Rd
New Orleans, LA 70121
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","504-469-0021","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Maryland, Northeast Region, DC-Baltimore Market","405 Williams Ct Ste 116-121
Baltimore, MD 21220
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","800-227-2345","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Massachusetts, New England Division, Framingham","30 Speen St
Framingham, MA 01701
USA","3380 Chastain Meadows Pkwy NW 200
Kennesaw, GA 30144
USA","508-270-4600","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Minnesota, North Region, Minneapolis Market","950 Blue Gentian Rd Ste 100
Eagan, MN 55121
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","262-523-5500","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Missouri, North Region, Kansas City Market","1100 Pennsylvania Ave
Kansas City, MO 64105
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","512-919-1900","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, New York, Northeast Region, New York City Market","132 W 32nd St
New York, NY 10001
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","212-586-8700","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"350.Org","PO Box 843004
Boston, MA 02284
USA",,"646-801-0759","https://www.350.org","350.org has been the backbone of the climate movement for 13 years, achieving real change through  global, people powered, collaborative actions.","261150699","C  Environmental Quality Protection, Beautification","R  Civil Rights, Social Action, Advocacy","Z  Unknown"
"A Child's Feeding Fund","8215 E Jasmine Cir
Mesa, AZ 85207
USA",,"602-326-5944","https://www.achildsfeedingfund.com/","Hunger kills 17,000 children each day. Providing children with nutritional fruits and vegetables to fight malnutrition and child hunger. Defeating child hunger with networking food banks.","453839595","K  Agriculture, Food, Nutrition","B  Educational Institutions","E  Health General & Rehabilitative"
"A Kid Again, Ohio, Cincinnati","9600 Montgomery Rd Lower Level Ste 4
Cincinnati, OH 45242
USA","777 G Dearborn Park Ln
Columbus, OH 43085
USA","513-232-5104","http://www.akidagain.org","A Kid Again fosters hope, happiness and healing for families raising kids with life-threatening illnesses.","311440073","P  Human Services","W  Public, Society Benefit","T  Philanthropy, Voluntarism, and Grantmaking"
"A Kid Again, Ohio, Columbus","777 G Dearborn Park Ln
Columbus, OH 43085
USA",,"614-797-9500","http://www.akidagain.org","A Kid Again fosters hope, happiness & healing for families raising children with life-threatening conditions by providing year-round Adventures.","311440073","P  Human Services","W  Public, Society Benefit","T  Philanthropy, Voluntarism, and Grantmaking"
"A Kid Again, Ohio, Twinsburg","9347 Ravenna Rd Unit D
Twinsburg, OH 44087
USA","777 G Dearborn Park Ln
Columbus, OH 43085
USA","330-405-5437","http://www.akidagain.org","A Kid Again fosters hope, happiness and healing for families raising kids with life-threatening illnesses.","311440073","P  Human Services","W  Public, Society Benefit","T  Philanthropy, Voluntarism, and Grantmaking"
"Ability Connection Oklahoma","10320 S Pennsylvania Ave Ste 204
Oklahoma City, OK 73159
USA",,"405-759-3562","http://www.acok.org","Services to enhance the life quality of people with cerebral palsy and other physical disabilities, advancing independence, productivity and full citizenship. United Cerebral Palsy affiliate.","730795371","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"American Cancer Society, North Carolina, Southeast Region, Raleigh Market","8300 Health Park Ste 10
Raleigh, NC 27615
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","800-227-2345","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, North Carolina, Southeast Region, Charlotte Market","1901 Brunswick Ave Ste 100
Charlotte, NC 28207
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","404-949-6447","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Ohio, North Central Region, Cincinnati Market","4540 Cooper Rd Ste 100
Cincinnati, OH 45242
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","888-227-6446","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Ohio, North Central Region, Cleveland Market","10501 Euclid Ave
Cleveland, OH 44106
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","717-533-6144","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Oklahoma, South Region, Oklahoma City Market","PO Box 22958
Oklahoma City, OK 73132
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","405-843-9888","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Oklahoma, High Plains Division, Tulsa","7645 63rd St Ste 105
Tulsa, OK 74133
USA","3380 Chastain Meadows Pkwy NW 200
Kennesaw, GA 30144
USA","918-743-6767","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","P  Human Services","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Pennsylvania, Northeast Region, Philadelphia Market","1818 Market St Ste 2820
Philadelphia, PA 19103
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","717-533-6144","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Pennsylvania, Northeast Region, Pittsburgh Market","106 Merchant Ln
Pittsburgh, PA 15205
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","717-533-6144","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Rhode Island, Northeast Region, Warwick","931 Jefferson Blvd Ste 3004
Warwick, RI 02886
USA","3380 Chastain Meadows Pkwy NW 200
Kennesaw, GA 30144
USA","401-243-2600","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Tennessee, North Central Region, Nashville Market","2000 Charlotte Ave
Nashville, TN 37203
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","615-341-7312","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Texas, South Region, Dallas Market","210 & 334 N Hall St
Dallas, TX 75226
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","214-631-3852","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Texas, South Region, Houston Market","2500 Fondren Rd Ste 100
Houston, TX 77063
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","512-919-1900","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Washington, West Region, Seattle Market","5601 Sixth Ave S Ste 491
Seattle, WA 98108
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","907-277-8610","https://www.cancer.org/about-us/local/washington.html","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Wisconsin, North Region, Milwaukee Market","N19 W24350 Riverwood Dr
Waukesha, WI 53189
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","262-523-5501","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Diabetes Association, Alaska","2451 Crystal Dr Ste 900
(Alaska Virtual Office)
Arlington, VA 22202
USA","180 Nickerson St
Seattle, WA 98109
USA","800-342-2383","http://www.diabetes.org","Committed to finding a cure for diabetes, improving care and providing information and support to help Stop Diabetes® through research, community programs and advocacy.","131623888","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Diabetes Association, Arizona","2451 Crystal Dr Ste 900
(Arizona Virtual Office)
Arlington, VA 22202
USA",,"800-342-2383","http://www.diabetes.org","Committed to finding a cure for diabetes, improving diabetes care and providing information and support to help Stop Diabetes through research, community programs and advocacy.","131623888","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Diabetes Association, Arkansas","2451 Crystal Dr Ste 900
(Arkansas Virtual Office)
Arlington, VA 22202
USA",,"800-342-2383","http://www.diabetes.org","Committed to finding a cure for diabetes, improving diabetes care and providing information and support to help Stop Diabetes through research, community programs and advocacy.","131623888","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Diabetes Association, California, Los Angeles","2451 Crystal Dr Ste 900
(Los Angeles, CA, Virtual Office)
Arlington, VA 22202
USA","1970 Broadway Ste 425
Oakland, CA 94612
USA","800-342-2383","http://www.diabetes.org","Committed to finding a cure for diabetes, improving diabetes care and providing information and support to help Stop Diabetes through research, community programs and advocacy.","131623888","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
